1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,result
0.28667609,8.18E-04,0.005839905,0.247433418,0.009001637,0.030984972,0.056464812,0.025926201,0.111813718,0.225040917,3.48E-15
0.001070971,0.001227699,0.011676201,0.003892067,0.002403155,0.008881227,0.279157851,0.533265418,0.093305122,0.065120288,1.15E-18
0.048107524,0.005200045,0.006393499,0.009917027,0.648158672,0.113434872,0.028273471,0.029893158,0.031285519,0.079336213,2.45E-15
0.036859493,0.001149835,0.002753126,0.204832545,6.96E-04,0.004809872,0.042997344,0.00113364,0.51467254,0.190095226,3.82E-19
0.009158327,0.003395282,0.00571837,0.00102752,0.178207648,0.028815225,0.156272337,0.342744818,0.228064689,0.046595783,5.34E-16
0.004414309,0.002436699,0.009499594,0.002507328,0.002931101,0.009958682,0.137938341,0.659850973,0.070099234,0.100363739,4.79E-18
0.002442159,0.003984576,0.019151671,0.004241645,0.032647815,0.10218509,0.072107969,0.701928021,0.021979434,0.03933162,1.15E-16
0.016871382,0.001623606,0.012424114,0.005294367,0.075038825,0.039319497,0.151771848,0.409431032,0.071791614,0.216433715,5.13E-15
0.11087008,0.003904709,0.007651653,0.626686124,0.005206279,0.008006626,9.07E-04,0.024374852,0.030724935,0.181667587,1.07E-17
0.012482146,0.001117804,0.044712165,0.001552506,0.011053841,0.117990437,0.050052785,0.655964727,0.084580513,0.020493076,7.19E-17
0.064987406,0.064915437,0.002878733,0.114285714,0.019647355,0.004821878,0.109175963,0.224973012,0.046491544,0.347822958,5.22E-14
0.00796261,0.008481911,0.001731002,0.051930068,0.388436905,0.030292539,0.064047083,0.197680457,0.224510992,0.024926432,5.06E-15
0.153033519,0.003702424,0.00454164,0.107863948,0.027052377,0.02952066,0.263513847,0.168139409,0.059831169,0.182801007,1.07E-13
0.01727287,0.010228044,0.033606429,0.029014246,0.002661379,0.005479309,0.253926838,0.265824766,0.345092105,0.036894015,2.16E-15
0.091608494,0.005025401,0.004294434,0.478271993,6.21E-04,0.004458901,0.014381784,0.035488469,0.025236651,0.340612551,1.15E-17
0.006142796,0.015404243,0.023673392,8.98E-04,0.001370316,0.036100742,0.010915277,0.351651467,0.197609035,0.356234938,2.69E-17
0.004131489,0.021196336,0.014370397,0.026046345,0.013292617,0.020657446,0.395365547,0.277887552,0.081552003,0.145500269,1.17E-14
3.28E-04,2.87E-04,0.028783468,4.92E-04,2.05E-04,0.955266719,0.01000451,0.002460125,0.001640084,5.33E-04,5.62E-27
0.048257862,0.002505546,0.004280308,0.019365784,0.001513767,0.007177346,0.327730654,0.293775284,0.234529558,0.060863891,1.50E-16
0.013780125,7.59E-04,0.920824986,7.28E-04,0.001472106,0.015221878,0.016951982,0.011002853,0.018697262,5.62E-04,3.08E-22
0.003690709,0.003052809,0.017496697,0.001412494,0.002870552,0.035813551,0.255205723,0.591789311,0.074269832,0.014398323,4.62E-18
0.00910144,0.002895913,0.004137018,0.005957306,0.257984445,0.023415522,0.345689227,0.164487837,0.120552706,0.065778587,1.77E-15
0.010890455,0.001665599,0.007815503,0.009224856,0.013581038,0.00512492,0.069955157,0.819859065,0.03933376,0.022549648,4.63E-18
0.027302378,0.002052259,0.096053066,0.003774691,0.002308792,0.029427933,0.177667021,0.508007476,0.091105655,0.062300729,7.07E-16
0.044968153,0.007430998,0.011125265,0.020976645,0.007346072,0.084288747,0.298216561,0.022632696,0.354140127,0.148874735,1.72E-14
0.013809911,0.007311129,0.011372868,0.012997563,0.024370431,0.064987815,0.080422421,0.738424045,0.035743298,0.01056052,5.30E-16
0.002342319,0.002342319,0.018270091,0.002640433,0.003492185,0.050338572,0.147949406,0.638686598,0.057450705,0.076487373,1.93E-17
0.015351147,0.014571276,0.009317408,0.816771334,0.003242622,0.008824857,0.001026146,0.010671921,0.028116406,0.092106883,1.38E-18
0.011867778,0.008045951,0.011934828,0.038620566,0.001519791,0.005878014,0.200120689,0.315244843,0.115124153,0.291643386,8.33E-16
0.363443612,0.001443977,0.011752879,0.159203071,8.59E-04,0.099872053,0.068232499,0.024108938,0.044470846,0.226613051,1.40E-15
0.026027017,0.001148833,0.004159569,0.016044052,0.151170622,0.005427247,0.377807709,0.130531236,0.175177277,0.112506437,1.59E-15
0.014436017,9.79E-04,0.010398826,0.008115162,0.017902292,0.013865101,0.379618302,0.535641465,0.00415953,0.014884593,3.73E-18
0.00287494,0.005989459,0.002395783,0.002395783,0.022280786,0.019405846,0.078581696,0.809774796,0.042405367,0.013895544,1.60E-18
0.00253304,0.005286344,0.004955947,0.002312775,0.007709251,0.003524229,0.093612335,0.767400881,0.106057269,0.00660793,2.10E-19
0.682986385,0.00929854,0.002935083,0.052239542,0.001627861,0.005056235,0.019189029,0.067704223,0.093971981,0.064991121,6.36E-17
0.004381113,0.002566712,0.031066071,0.002920742,0.257423552,0.014293933,0.233261052,0.291631633,0.047572687,0.114882507,1.40E-15
0.101440643,0.007407959,0.016156051,0.074154041,0.011353907,0.023340654,0.025127499,0.284889997,0.291776793,0.164352455,8.19E-14
